id,name,category,price,allergens
1,Garlic Bread,STARTER,7.50,GLUTEN|MILK
2,Prawn Cocktail,STARTER,12.90,CRUSTACEANS|EGGS
3,Garden Salad,STARTER,9.00,
4,Margherita Pizza,MAIN,16.50,GLUTEN|MILK
5,Grilled Salmon,MAIN,24.00,FISH
6,Pad Thai,MAIN,18.90,EGGS|PEANUTS|SOYBEANS
7,Beef Stir Fry,MAIN,21.00,SOYBEANS|SESAME
8,Steamed Rice,SIDE,4.00,
9,Sweet Potato Fries,SIDE,6.50,
10,Cheesecake,DESSERT,10.00,GLUTEN|EGGS|MILK
11,Fruit Sorbet,DESSERT,8.00,
12,Almond Biscotti,DESSERT,5.50,GLUTEN|EGGS|FISH|TREE_NUTS
13,Soy Latte,BEVERAGE,4.50,SOYBEANS
14,Fresh Orange Juice,BEVERAGE,5.00,
15,House Red Wine,BEVERAGE,11.00,SULPHITES
16,Garlic Naan,MAIN,7.00,GLUTEN|EGGS|MILK
